l,/,1,0,0
k,g,/,1,0,0
k,g,/,h
s,f,c
49.777676291328355,42.11191414246379,2.8865468800533836,0.5721580731727822
49.716578520365566,42.060225428229266,3.5699875766517173,0.5712909788865294
49.59497643941387,41.95735006774413,4.246559106824561,0.5696943576612208
49.420194833144826,41.809484828840525,4.914481721879921,0.5674533732366706
49.197241436034204,41.62086625488494,5.572118097704214,0.5646267046995533
48.928898458065554,41.39384809552346,6.217824880739291,0.5612476147356462
48.79521748280022,41.280753990448986,6.8750891802391685,0.5593816941173996
48.707804888338266,41.20680293553417,7.535817474812921,0.5580139218084567
45.37220354742609,38.38488420112247,7.646703745036868,0.519428108496988
45.515858696999906,38.50641645766192,8.29985248269473,0.5206682395352167
45.638688562287214,38.610330523694984,8.952886003387349,0.5216365404520161
45.74104488624301,38.696923973761585,9.605014877151559,0.5223375323300632
42.39244909914845,35.86401193787959,9.487632881140641,0.48363512074312986
42.8078094547289,36.21540679870065,10.17211082652829,0.4878771131522229
43.207409534302876,36.553468466020234,10.8641048945598,0.4919011201423929
43.591373252172005,36.87830177133751,11.562994628110477,0.49570852049267544
43.959660591911394,37.189872860757035,12.268120669787073,0.49929890383514886
38.56710939377852,32.62777454713663,11.29610514562287,0.4375000547660163
39.06814161816288,33.0516478089658,11.982698451253965,0.44260152305073464
39.555607338198755,33.464043808116145,12.678789801173657,0.4475090545997915
40.028362402144786,33.86399459221449,13.383434263768137,0.452209632049599
40.48515613086339,34.25044208671042,14.095586578567675,0.4566891840361959
40.92461021716193,34.62222024371899,14.8140861581514,0.46093236352600586
41.345195950742216,34.978035774327914,15.53763971139762,0.46492231040215476
35.51575821284578,30.04633144806753,13.837677531826676,0.3987072812339628
36.003597708989155,30.459043661804824,14.525247651546442,0.40348919321745474
36.4806769313286,30.862652683903995,15.221809906347545,0.408109912611912
36.85535698122207,31.179632006113874,15.787287005762323,0.41169640139340197
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
20.4389711098831,17.2913695589611,7.691457348263807,0.9767680704689592
20.51533100661054,17.355970031592516,7.761975486351095,0.9794104869612971
20.591834596502576,17.420692068641177,7.832859322714958,0.9820488973654072
20.668482649303645,17.48553632131088,7.9041100296888605,0.9846833069545534
20.745275935674282,17.550503441580442,7.975728786229332,0.9873137211564709
20.82221522717298,17.61559408218834,8.047716777918263,0.9899401455514044
20.89930129623797,17.68080889661732,8.120075196964986,0.9925625858701439
20.976534916169328,17.74614853907925,8.19280524220825,0.9951810479920764
21.053916861110864,17.81161366449979,8.265908119117858,0.9977955379432232
21.131447906032232,17.877204928503268,8.339385039796241,1.000406061894296
21.20912882671107,17.942922987397562,8.41323722297974,1.0030126261587442
21.286960399715003,18.008768498158894,8.487465894039692,1.0056152371908051
21.364943402384007,18.074742118416868,8.562072284983392,1.0082139015835698
21.443078612812396,18.140844506439286,8.637057634454697,1.010808626067027
21.521366809831246,18.207076321117235,8.71242318773461,1.013399417506138
21.59980877299047,18.273438221949938,8.788170196741472,1.015986282898888
21.67840528254112,18.33993086902979,8.864299920031055,1.0185692293743542
21.75715711941774,18.406554923027407,8.940813622796451,1.0211482641907803
